detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
SHITOMASI,BRISK,0,1723,31.45731400,21.55502100,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRISK,1,1759,12.18363800,18.51721300,577,152.93150100,12.29943227,13.28852223
SHITOMASI,BRISK,2,1820,12.52889400,18.55308700,568,160.11664100,12.98777737,14.28470104
SHITOMASI,BRISK,3,1850,12.05291800,18.63632000,618,167.31050100,17.26938871,14.98524849
SHITOMASI,BRISK,4,1828,12.22133000,18.73949200,589,169.75561200,13.79866612,13.84620999
SHITOMASI,BRISK,5,1806,12.45376700,18.50255500,610,163.60278900,12.85564709,12.20549571
SHITOMASI,BRISK,6,1877,12.20353300,18.77995200,598,165.97922300,13.34054193,13.92202324
SHITOMASI,BRISK,7,1894,12.49629000,23.62203200,580,170.30987000,14.45731022,11.32670333
SHITOMASI,BRISK,8,1889,12.60496200,19.33530500,613,174.30258300,13.13016586,11.42755996
SHITOMASI,BRISK,9,1917,12.40768900,20.31780100,595,175.02548200,12.34545830,12.11316895
SHITOMASI,BRISK,10,1874,12.40063100,18.59209600,601,174.40290200,12.14960324,8.97882759
SHITOMASI,BRISK,11,1912,12.28983700,18.99111900,615,173.03465400,11.54790781,12.68383729
SHITOMASI,BRISK,12,1930,12.70352700,19.71998500,621,180.35278700,10.07826007,10.98361180
SHITOMASI,BRISK,13,1881,12.18307600,19.16806800,636,177.88481800,9.20565887,12.46161453
SHITOMASI,BRISK,14,1886,12.13639900,19.20581700,646,175.42132700,9.54236248,12.86265780
SHITOMASI,BRISK,15,1957,13.03246300,19.81378200,656,183.04127200,8.39156690,11.03129774
SHITOMASI,BRISK,16,1888,12.19086400,18.93784100,638,183.59322200,8.88653053,9.01231398
SHITOMASI,BRISK,17,1919,12.26050000,19.35404200,697,180.53420000,11.04299793,12.77319570

SHITOMASI,BRIEF,0,1723,17.64452800,12.65009200,0,0.00000000,0.00000000,0.00000000
SHITOMASI,BRIEF,1,1759,12.42020400,7.33264300,803,72.27157400,12.29943227,10.92590126
SHITOMASI,BRIEF,2,1820,12.44354400,7.37968700,800,75.20194200,12.98777737,13.36944841
SHITOMASI,BRIEF,3,1850,12.75421100,7.29636900,911,79.03294100,17.26938871,10.57685834
SHITOMASI,BRIEF,4,1828,12.30247800,7.41135400,869,79.47629700,13.79866612,13.43378084
SHITOMASI,BRIEF,5,1806,12.53338900,7.47221100,853,76.23194600,12.85564709,11.68855355
SHITOMASI,BRIEF,6,1877,12.30732900,7.18581300,851,75.72640100,13.34054193,10.75303961
SHITOMASI,BRIEF,7,1894,12.81397700,7.64338400,836,77.87607200,14.45731022,18.16114677
SHITOMASI,BRIEF,8,1889,12.10970400,7.19705900,879,77.52900700,13.13016586,11.10089688
SHITOMASI,BRIEF,9,1917,12.20471500,7.37665900,849,79.21838100,12.34545830,11.73761860
SHITOMASI,BRIEF,10,1874,12.11099700,7.72388300,857,80.39105100,12.14960324,12.08821188
SHITOMASI,BRIEF,11,1912,12.43837800,7.60562400,873,80.63173600,11.54790781,10.58335958
SHITOMASI,BRIEF,12,1930,12.26062400,7.94268500,894,81.17538000,10.07826007,10.31047298
SHITOMASI,BRIEF,13,1881,12.51098200,7.51151000,910,80.72112000,9.20565887,12.24642116
SHITOMASI,BRIEF,14,1886,12.69870000,7.58134700,923,81.91636100,9.54236248,11.28806892
SHITOMASI,BRIEF,15,1957,12.53080900,7.97867000,938,82.56851100,8.39156690,12.73596497
SHITOMASI,BRIEF,16,1888,12.18489200,7.25078400,910,83.52187600,8.88653053,10.32868069
SHITOMASI,BRIEF,17,1919,12.61594000,7.83422500,931,83.18700900,11.04299793,11.35135968

SHITOMASI,ORB,0,1723,12.02991700,5.84892400,0,0.00000000,0.00000000,0.00000000
SHITOMASI,ORB,1,1759,12.03267600,4.21375300,684,69.45663600,12.29943227,12.34268530
SHITOMASI,ORB,2,1820,12.80811600,4.39057600,718,73.21143700,12.98777737,12.36213794
SHITOMASI,ORB,3,1850,12.19328500,4.41476800,741,77.26198400,17.26938871,9.76786617
SHITOMASI,ORB,4,1828,12.71828500,4.24500400,720,78.48268400,13.79866612,12.71383575
SHITOMASI,ORB,5,1806,12.07649500,4.16989400,717,75.23397700,12.85564709,12.66024508
SHITOMASI,ORB,6,1877,19.53205800,7.29855500,715,74.55743900,13.34054193,11.48234136
SHITOMASI,ORB,7,1894,12.96174400,4.28688100,716,74.87019500,14.45731022,13.58930010
SHITOMASI,ORB,8,1889,12.49332400,4.19416200,751,76.26822200,13.13016586,13.22851895
SHITOMASI,ORB,9,1917,12.12654300,4.18670700,715,77.35382500,12.34545830,11.70219112
SHITOMASI,ORB,10,1874,12.14525900,4.10718100,692,76.52870600,12.14960324,12.39611095
SHITOMASI,ORB,11,1912,12.22417200,4.34652700,750,76.25517800,11.54790781,11.27829846
SHITOMASI,ORB,12,1930,12.35599000,4.28133700,771,79.23445200,10.07826007,11.84801210
SHITOMASI,ORB,13,1881,12.40800500,4.22385400,742,77.80535100,9.20565887,12.35392526
SHITOMASI,ORB,14,1886,12.15577200,4.22011500,777,77.00848400,9.54236248,11.54760103
SHITOMASI,ORB,15,1957,12.44813600,4.36913400,764,80.35523200,8.39156690,9.36488598
SHITOMASI,ORB,16,1888,13.23955500,4.39087700,762,81.16624500,8.88653053,211.04540718
SHITOMASI,ORB,17,1919,12.87536100,4.57370500,765,79.45912000,11.04299793,22.30051052

SHITOMASI,FREAK,0,1723,12.96924700,52.29926000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,FREAK,1,1759,12.99989900,53.95391600,476,139.38592400,12.29943227,15.33537247
SHITOMASI,FREAK,2,1820,12.58122400,53.99278900,531,147.13189600,12.98777737,10.80130023
SHITOMASI,FREAK,3,1850,12.13634900,53.15070800,541,155.33706300,17.26938871,14.91529430
SHITOMASI,FREAK,4,1828,12.31527000,52.50682200,510,155.81779800,13.79866612,13.77308447
SHITOMASI,FREAK,5,1806,12.19123100,52.59063900,526,149.71492400,12.85564709,12.56887042
SHITOMASI,FREAK,6,1877,12.30061700,52.68856800,493,148.96496800,13.34054193,20.57178404
SHITOMASI,FREAK,7,1894,12.32379000,52.85647800,485,154.74141500,14.45731022,-0.17237748
SHITOMASI,FREAK,8,1889,12.80988800,53.87231900,535,154.54573800,13.13016586,nan
SHITOMASI,FREAK,9,1917,12.19172700,53.68288300,514,157.15248400,12.34545830,11.97351300
SHITOMASI,FREAK,10,1874,12.09948900,53.40228400,521,155.22778900,12.14960324,13.01915737
SHITOMASI,FREAK,11,1912,12.32274700,53.88867600,507,155.38093200,11.54790781,12.17215832
SHITOMASI,FREAK,12,1930,12.56089400,54.75205800,507,161.74633500,10.07826007,12.66639327
SHITOMASI,FREAK,13,1881,12.46666700,53.43489400,485,159.92064600,9.20565887,12.46161453
SHITOMASI,FREAK,14,1886,12.29499100,52.57637500,529,158.35989900,9.54236248,11.59774455
SHITOMASI,FREAK,15,1957,12.12433300,53.93054100,536,164.51672000,8.39156690,11.08360630
SHITOMASI,FREAK,16,1888,12.45010100,53.46905700,542,165.24255900,8.88653053,10.55071655
SHITOMASI,FREAK,17,1919,12.49772200,53.80601700,555,162.44931200,11.04299793,11.47074370

SHITOMASI,AKAZE,0,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,1,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,2,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,3,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,4,0,0.00000000,0.00000000,0,0.00000000,0.00000000,1726347346919784596218595979484941815920177203742450248701171473325086629857703513723909799164355262607234751553172250703718075200217662729374106842734450926102772184259787656229842430088249594240322340007579275853971610510853021565816286478336.00000000
SHITOMASI,AKAZE,5,0,0.00000000,0.00000000,0,0.00000000,0.00000000,78923505847451519368150794087956480.00000000
SHITOMASI,AKAZE,6,0,0.00000000,0.00000000,0,0.00000000,0.00000000,42451022239132593821440808235492530101484619384870697940200026967523770380659019186149598058762252810710399673407962352053728479043228708020109607026538761175637082850407219200.00000000
SHITOMASI,AKAZE,7,0,0.00000000,0.00000000,0,0.00000000,0.00000000,4251005171854987222490061758896760859931977203737508294106761003003752899904578357821186104635271107542198943109985430542680305572214127338820579886126116552553950781154691884852883105599725004072826521717419699115956386001846272.00000000
SHITOMASI,AKAZE,8,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,9,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,10,0,0.00000000,0.00000000,0,0.00000000,0.00000000,5285614496162831971717956274206937323440481328937256480958922330248678709689218633860112178131343192334108812580986745737728268629247395958066307983254394192247918343213536598032384.00000000
SHITOMASI,AKAZE,11,0,0.00000000,0.00000000,0,0.00000000,0.00000000,257382701426205473290748461812813868344019749007371145206014185196144538222589374640355913423277825384343465416585780640020648120318179633607517618644388805432017684437416277378571698176.00000000
SHITOMASI,AKAZE,12,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,13,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,14,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,15,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,16,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000
SHITOMASI,AKAZE,17,0,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000

SHITOMASI,SIFT,0,1723,12.18497000,62.39083400,0,0.00000000,0.00000000,0.00000000
SHITOMASI,SIFT,1,1759,12.09389400,62.44416900,1260,130.65876700,12.29943227,12.62138574
SHITOMASI,SIFT,2,1820,12.35812600,63.74633300,1257,138.05484500,12.98777737,13.01144693
SHITOMASI,SIFT,3,1850,12.15612800,64.41311100,1321,144.69085700,17.26938871,11.69336253
SHITOMASI,SIFT,4,1828,12.78219000,64.14767700,1344,145.34750300,13.79866612,12.19335897
SHITOMASI,SIFT,5,1806,12.25097600,62.16423800,1324,141.84378500,12.85564709,12.06562011
SHITOMASI,SIFT,6,1877,12.39998200,64.67570700,1287,145.98489600,13.34054193,12.85727758
SHITOMASI,SIFT,7,1894,12.45967500,65.93714100,1310,152.59145100,14.45731022,12.66115703
SHITOMASI,SIFT,8,1889,12.75577900,65.99987300,1337,154.91320600,13.13016586,12.11850864
SHITOMASI,SIFT,9,1917,13.04223500,68.27721000,1334,157.32962000,12.34545830,11.60772546
SHITOMASI,SIFT,10,1874,12.76678800,65.84085300,1324,155.50275400,12.14960324,12.85139985
SHITOMASI,SIFT,11,1912,12.87425600,67.55357800,1299,154.80368900,11.54790781,11.32670333
SHITOMASI,SIFT,12,1930,12.73250000,66.88678400,1356,160.41826900,10.07826007,11.84801210
SHITOMASI,SIFT,13,1881,12.27723300,64.76321500,1372,151.33590500,9.20565887,12.55950638
SHITOMASI,SIFT,14,1886,12.15901900,64.45600500,1359,152.92936700,9.54236248,11.72360740
SHITOMASI,SIFT,15,1957,12.90140100,68.09357000,1400,158.82794000,8.39156690,10.37529913
SHITOMASI,SIFT,16,1888,12.25499000,65.80384100,1425,158.36522400,8.88653053,11.06366324
SHITOMASI,SIFT,17,1919,12.69484900,66.70480200,1442,155.78302700,11.04299793,12.40838174

